,Region,2020 Population,pres2000,pres2004,pres2008,pres2012,pres2016,pres2020,sen1-recent,sen2-recent,sen1-2ndrecent,sen2-2ndrecent,sen1-3rdrecent,sen2-3rdrecent,gdp,high-school-pop,some-college,associates,bachelors,grad-professional,median-age,amer-indian,asian,black,hisp-latino,hawaiian-pi,other-race,white,inc-party,inc-w-recent,rep-finance,dem-finance,median-hh-income,recent-five-polling-avg,polling-party-lead,pvi,party-pvi,employment-rate,urban-pct-2010
0,2,5024279,0,0,0,0,0,0,0,0,1,0,0,0,226896.5,30.3,21.6,8.7,16.3,9.9,39.2,0.006683066431369728,0.015236397698997869,0.25761596287931743,0.052480108312383124,0.0005930786685860897,0.027317195524959093,0.6400741904843866,1,1,6829526.55,37491.77,52035,20.4,0,15,0,54.0,59.04
3,2,3011524,0,0,0,0,0,0,0,0,0,0,1,1,130750.7,33.9,22.0,7.5,15.2,8.6,38.3,0.008896502417837394,0.01696970927027533,0.14854772626388146,0.08407991892093612,0.004757437157833126,0.04455452999152808,0.6921941759777085,1,1,5973540.8,26852.08,49475,45.0,0,16,0,54.8,56.16
4,3,39538223,1,1,1,1,1,1,1,1,1,1,1,1,3007187.7,20.4,20.9,8.0,21.6,13.1,36.7,0.012784565874705518,0.12330303880007229,0.04532315564520508,0.3156482360177675,0.003186193667282309,0.16959068545416678,0.3301641245408006,1,1,135852.28,9467165.58,78672,25.0,1,14,1,59.4,94.95
6,0,3605944,1,1,1,1,1,1,1,1,1,1,1,1,276422.9,26.3,16.8,7.8,22.2,17.9,41.1,0.004119514425486733,0.04426084731464174,0.09975405079596636,0.15996912994859525,0.0004101292163683135,0.07677295549430709,0.6147133728046346,1,1,1088131.76,7442253.87,79855,19.6,1,7,1,61.7,87.99
7,2,989948,1,1,1,1,1,1,1,1,1,1,1,1,75786.5,31.0,18.9,8.0,19.0,13.7,41.0,0.005058365758754864,0.04195554769484731,0.21508764689698542,0.10247415792162874,0.00040482647486538535,0.04766438706127422,0.5873550681916441,1,1,479515.11,7217773.49,69110,30.0,1,6,1,58.0,83.3
10,3,1455271,1,1,1,1,1,1,1,1,1,1,1,1,82884.6,27.3,20.8,10.9,21.9,11.6,39.4,0.00356424822501254,0.44198472348529644,0.019099313657921887,0.11330802200535861,0.12841488828080078,0.02181531974242801,0.2718134846031817,1,1,0.0,3847922.8,83173,24.5,1,15,1,58.7,91.93
11,3,1839106,0,0,0,0,0,0,0,0,0,0,0,0,83821.6,26.7,26.1,9.8,19.3,9.4,36.6,0.01330748119261957,0.013938549052930752,0.008168043762348674,0.12434737714692921,0.0019352747716209562,0.05382619300392456,0.7844770810696262,0,1,5791901.53,14843.19,58915,33.0,0,19,0,60.2,70.58
12,1,12812508,1,1,1,1,1,1,1,1,1,0,1,1,858366.9,25.6,20.4,8.1,21.6,13.9,38.3,0.00689028595207946,0.05390086093943749,0.12911670986810792,0.16689903715362028,0.0003213867341324136,0.08105350585729286,0.5618182134953296,1,1,301791.0,13555780.9,68428,13.3,1,7,1,61.2,88.49
13,1,6785528,0,0,1,0,0,0,0,0,1,0,0,1,375336.7,33.2,20.1,8.9,17.3,9.9,37.8,0.0037789405262326067,0.024331329902840697,0.09394664024720871,0.08028271215109156,0.00045444055933419026,0.037854884106068194,0.759351052507224,0,1,11838613.37,423093.97,58235,0.7,0,11,0,60.7,72.44
14,1,3190369,1,0,1,1,0,0,0,0,0,0,1,0,194267.6,30.8,20.6,11.8,19.7,9.6,38.3,0.004488898915177598,0.02343579566864328,0.04089527596533328,0.06692940225690656,0.0017842799912738234,0.027492414176070443,0.8349739330265951,0,1,6881288.81,3740880.84,61836,18.0,0,6,0,64.3,64.02
15,1,2937880,0,0,0,0,0,0,0,0,0,0,0,0,175141.8,25.8,22.8,8.8,21.5,12.5,36.9,0.010195837716606041,0.02837959371914028,0.05552989737385221,0.12585765761853915,0.0011223809739977354,0.04783342971599024,0.7310812028818743,0,1,5407244.23,305704.84,61091,3.0,0,11,0,63.2,74.2
